City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,9.68,76,1,7.38,ZA,1693971511
1,puerto natales,-51.7236,-72.4875,-1.59,87,71,2.45,CL,1693971511
2,waitangi,-43.9535,-176.5597,12.68,81,100,3.58,NZ,1693971511
3,ballycastle,55.2044,-6.243,14.16,93,68,5.15,GB,1693971512
4,badger,64.8,-147.5333,14.14,83,75,2.06,US,1693971512
5,aizawl,23.7333,92.7167,24.89,79,75,1.54,IN,1693971512
6,ola,59.5833,151.2833,11.97,65,100,7.42,RU,1693971512
7,lerwick,60.1545,-1.1494,13.0,78,100,4.4,GB,1693971513
8,bilibino,68.0546,166.4372,3.98,57,98,4.23,RU,1693971513
9,bredasdorp,-34.5322,20.0403,5.16,87,0,4.23,ZA,1693971258
10,avarua,-21.2078,-159.775,21.03,88,100,5.14,CK,1693971513
11,thunder bay,48.4001,-89.3168,19.99,94,100,3.6,CA,1693971291
12,luis correia,-2.8792,-41.6669,25.36,81,11,7.26,BR,1693971514
13,boyolangu,-8.1181,111.8935,28.21,59,40,6.07,ID,1693971514
14,port-aux-francais,-49.35,70.2167,3.21,74,96,12.84,TF,1693971514
15,roma,43.2128,-75.4557,22.63,93,0,0.0,US,1693971483
16,orkney,-26.9802,26.6727,5.48,33,81,2.78,ZA,1693971515
17,margaret river,-33.95,115.0667,13.5,52,41,7.99,AU,1693971515
18,anadyr,64.75,177.4833,7.28,56,75,9.83,RU,1693971515
19,wailua homesteads,22.0669,-159.378,28.24,78,20,4.12,US,1693971516
20,afaahiti,-17.75,-149.2833,25.93,91,100,10.79,PF,1693971516
21,quellon,-43.1167,-73.6167,9.14,93,100,7.2,CL,1693971516
22,igarka,67.4667,86.5833,10.22,50,0,2.8,RU,1693971517
23,saint-joseph,-21.3667,55.6167,19.21,68,14,3.53,RE,1693971517
24,grytviken,-54.2811,-36.5092,-7.56,75,28,6.44,GS,1693971517
25,ilulissat,69.2167,-51.1,5.01,100,100,2.06,GL,1693971518
26,chamzinka,54.4019,45.7839,14.71,76,18,0.91,RU,1693971518
27,adamstown,-25.066,-130.1015,18.1,79,100,8.56,PN,1693971518
28,ataq,14.5377,46.8319,29.48,39,92,0.89,YE,1693971518
29,taoudenni,22.6783,-3.9836,32.31,40,93,2.53,ML,1693971519
30,port mathurin,-19.6833,63.4167,22.78,71,18,7.16,MU,1693971519
31,vilyuchinsk,52.9306,158.4028,17.15,68,17,2.78,RU,1693971519
32,katabu,-4.9333,122.5167,32.59,38,19,3.46,ID,1693971519
33,georgetown,5.4112,100.3354,29.41,74,20,1.03,MY,1693971520
34,sosnovo-ozerskoye,52.5249,111.5418,20.52,55,98,0.64,RU,1693971520
35,laguna,38.421,-121.4238,27.4,40,0,3.09,US,1693971520
36,coron,11.9986,120.2043,30.41,69,64,2.5,PH,1693971520
37,puerto ayora,-0.7393,-90.3518,23.64,91,50,2.24,EC,1693971520
38,turkmenbasy,40.0222,52.9552,27.43,17,0,3.09,TM,1693971521
39,whitehorse,60.7161,-135.0538,15.43,53,75,4.63,CA,1693971521
40,bryne,58.7354,5.6477,11.66,97,0,1.54,NO,1693971521
41,katsuura,35.1333,140.3,26.94,80,100,7.39,JP,1693971522
42,young,-32.6833,-57.6333,6.64,72,73,4.66,UY,1693971522
43,kodiak,57.79,-152.4072,12.73,76,20,0.0,US,1693971522
44,uturoa,-16.7333,-151.4333,24.76,85,94,10.9,PF,1693971522
45,saint-francois,46.4154,3.9054,15.93,94,0,1.03,FR,1693971523
